severity,code,record_type,record_id,record_ref,stage,owner,retry_status,message
high,record_held_from_load,metafield,6748,PRODUCT:modena-jersey:migration.woo_id,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6748,PRODUCT:modena-jersey:prosporter.surface,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6748,PRODUCT:modena-jersey:prosporter.gender,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6758,PRODUCT:provolley-womens-jersey:migration.woo_id,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6758,PRODUCT:provolley-womens-jersey:prosporter.surface,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6758,PRODUCT:provolley-womens-jersey:prosporter.club,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6758,PRODUCT:provolley-womens-jersey:prosporter.gender,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6763,PRODUCT:inner-west-jersey:migration.woo_id,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6763,PRODUCT:inner-west-jersey:prosporter.club,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,metafield,6763,PRODUCT:inner-west-jersey:prosporter.gender,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,40,cart,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,41,checkout,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,42,my-account,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,4253,wishlist,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,4625,wishlist-2,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,47,cart-2,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,48,checkout-2,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,page,49,my-account-2,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,3154,modena-volley-jersey,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,3173,modena-volley-shorts,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,3593,hoodie-pants-winter-2024,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,6718,provolley-jersey,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,6748,modena-jersey,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,6758,provolley-womens-jersey,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,product,6763,inner-west-jersey,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,1965,woo:1965,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,1967,woo:1967,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,1970,woo:1970,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,1998,woo:1998,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,1999,woo:1999,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2006,woo:2006,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2007,woo:2007,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2013,woo:2013,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2014,woo:2014,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2015,woo:2015,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2016,woo:2016,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2017,woo:2017,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2018,woo:2018,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2031,woo:2031,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2032,woo:2032,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2033,woo:2033,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2034,woo:2034,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2035,woo:2035,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2036,woo:2036,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2037,woo:2037,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2038,woo:2038,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2066,woo:2066,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2067,woo:2067,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2093,woo:2093,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2094,woo:2094,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2097,woo:2097,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2098,woo:2098,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2099,woo:2099,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2106,woo:2106,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2107,woo:2107,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2108,woo:2108,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2109,woo:2109,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2141,woo:2141,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2142,woo:2142,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2143,woo:2143,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2144,woo:2144,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2145,woo:2145,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2158,woo:2158,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2159,woo:2159,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2160,woo:2160,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2161,woo:2161,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2162,woo:2162,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2224,woo:2224,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2225,woo:2225,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2238,woo:2238,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2255,woo:2255,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2256,woo:2256,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2278,woo:2278,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2282,woo:2282,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2353,woo:2353,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2354,woo:2354,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2355,woo:2355,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2363,woo:2363,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2364,woo:2364,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2372,woo:2372,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,2785,woo:2785,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,3167,woo:3167,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,3176,woo:3176,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,3177,woo:3177,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,3178,woo:3178,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,3593,woo:3593,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,4032,woo:4032,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,4865,woo:4865,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,4867,woo:4867,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,4868,woo:4868,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,4870,woo:4870,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6429,woo:6429,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6616,woo:6616,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6617,woo:6617,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6618,woo:6618,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6619,woo:6619,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6620,woo:6620,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6621,woo:6621,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6622,woo:6622,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
